Date,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NVDA,BRK-B,JPM,JNJ
2022-01-03 00:00:00-05:00,179.48,327.53,144.83,170.4,399.93,337.85,30.08,300.79,150.4,159.71
2022-01-04 00:00:00-05:00,177.2,321.91,144.23,167.52,383.2,335.84,29.25,308.53,156.11,159.28
2022-01-05 00:00:00-05:00,172.49,309.56,137.62,164.36,362.71,323.51,27.56,309.92,153.25,160.35
2022-01-06 00:00:00-05:00,169.61,307.11,137.59,163.25,354.9,331.78,28.14,313.22,154.88,159.8
2022-01-07 00:00:00-05:00,169.78,307.27,136.86,162.55,342.32,331.11,27.21,319.78,156.42,161.96
2022-01-10 00:00:00-05:00,169.8,307.49,138.51,161.49,352.71,327.4,27.36,318.93,156.57,161.16
2022-01-11 00:00:00-05:00,172.65,308.19,139.58,165.36,354.8,333.68,27.78,319.8,156.72,159.44
2022-01-12 00:00:00-05:00,173.09,311.41,141.27,165.21,368.74,332.58,27.96,320.39,157.61,158.08
2022-01-13 00:00:00-05:00,169.8,298.23,138.43,161.21,343.85,325.81,26.53,321.26,157.42,157.12
2022-01-14 00:00:00-05:00,170.67,303.51,139.32,162.14,349.87,331.22,26.9,324.13,147.74,156.27
2022-01-18 00:00:00-05:00,167.44,296.12,135.84,158.92,343.5,317.5,25.86,320.29,141.55,155.58
2022-01-19 00:00:00-05:00,163.92,296.79,134.96,156.3,331.88,318.93,25.03,314.75,139.36,155.09
2022-01-20 00:00:00-05:00,162.22,295.1,133.15,151.67,332.09,315.91,24.11,311.01,138.17,153.86
2022-01-21 00:00:00-05:00,160.15,289.65,130.2,142.64,314.63,302.55,23.34,305.22,135.75,153.5
2022-01-24 00:00:00-05:00,159.37,289.98,130.65,144.54,310.0,308.08,23.34,303.73,135.63,151.73
2022-01-25 00:00:00-05:00,157.56,282.27,126.79,139.99,306.13,299.53,22.29,307.19,137.11,156.07
2022-01-26 00:00:00-05:00,157.47,290.31,129.08,138.87,312.47,294.03,22.74,309.26,138.41,156.77
2022-01-27 00:00:00-05:00,157.01,293.37,128.86,139.64,276.37,294.04,21.91,307.67,135.97,158.83
2022-01-28 00:00:00-05:00,167.96,301.61,133.2,143.98,282.12,301.09,22.81,312.9,137.19,159.94
2022-01-31 00:00:00-05:00,172.35,304.27,135.15,149.57,312.24,312.62,24.45,313.02,139.05,160.41
2022-02-01 00:00:00-05:00,172.18,302.1,137.49,151.19,310.42,318.35,24.6,313.96,141.43,159.1
2022-02-02 00:00:00-05:00,173.4,306.7,147.83,150.61,301.89,322.34,25.2,319.6,140.3,160.86
2022-02-03 00:00:00-05:00,170.5,294.75,142.93,138.85,297.05,237.27,23.91,315.23,139.14,160.85
2022-02-04 00:00:00-05:00,170.21,299.34,143.13,157.64,307.77,236.6,24.28,314.99,142.75,159.8
2022-02-07 00:00:00-05:00,169.49,294.46,139.04,157.94,302.45,224.45,24.69,316.51,143.23,159.27
2022-02-08 00:00:00-05:00,172.62,297.99,139.24,161.41,307.33,219.73,25.07,321.44,145.93,159.68
2022-02-09 00:00:00-05:00,174.05,304.5,141.43,161.19,310.67,231.52,26.66,322.38,146.53,159.67
2022-02-10 00:00:00-05:00,169.94,295.86,138.46,159.0,301.52,227.6,25.79,319.85,145.93,157.74
2022-02-11 00:00:00-05:00,166.51,288.68,134.13,153.29,286.67,219.1,23.91,319.14,144.03,156.15
2022-02-14 00:00:00-05:00,166.75,288.64,135.37,155.17,291.92,217.25,24.23,314.28,142.69,154.18
2022-02-15 00:00:00-05:00,170.61,293.99,136.45,156.51,307.48,220.55,26.46,316.2,144.78,155.77
2022-02-16 00:00:00-05:00,170.37,293.65,137.58,158.1,307.8,216.1,26.47,315.65,145.04,155.68
2022-02-17 00:00:00-05:00,166.75,285.05,132.39,154.65,292.12,207.28,24.47,313.55,141.7,154.73
2022-02-18 00:00:00-05:00,165.19,282.3,130.25,152.6,285.66,205.74,23.61,314.8,142.36,153.07
2022-02-22 00:00:00-05:00,162.24,282.1,129.66,150.2,273.84,201.67,23.35,314.16,142.11,150.99
2022-02-23 00:00:00-05:00,158.05,274.79,127.44,144.83,254.68,198.04,22.35,309.99,139.13,151.07
2022-02-24 00:00:00-05:00,160.68,288.83,132.54,151.36,266.92,207.17,23.71,308.28,135.26,148.18
2022-02-25 00:00:00-05:00,162.77,291.5,134.31,153.79,269.96,210.05,24.12,319.24,138.46,155.55
2022-02-28 00:00:00-05:00,163.03,292.95,134.9,153.56,290.14,210.6,24.35,321.45,132.69,154.21
2022-03-01 00:00:00-05:00,161.14,289.19,133.91,151.14,288.12,203.07,23.44,316.84,127.68,153.67
2022-03-02 00:00:00-05:00,164.46,294.32,134.42,152.05,293.3,207.68,24.19,323.64,130.33,155.58
2022-03-03 00:00:00-05:00,164.13,290.14,133.75,147.9,279.76,202.55,23.68,327.74,129.4,157.87
2022-03-04 00:00:00-05:00,161.11,284.19,131.76,145.64,279.43,199.65,22.91,325.34,125.76,158.81
2022-03-07 00:00:00-05:00,157.29,273.46,126.23,137.45,268.19,187.09,21.32,322.72,120.9,161.37
2022-03-08 00:00:00-05:00,155.45,270.46,126.96,136.01,274.8,189.9,21.49,318.52,120.05,158.09
2022-03-09 00:00:00-05:00,160.89,282.86,133.27,139.28,286.32,198.09,22.98,325.4,124.86,158.69
2022-03-10 00:00:00-05:00,156.52,280.01,132.28,146.82,279.43,194.81,22.63,325.3,123.38,158.98
2022-03-11 00:00:00-05:00,152.77,274.6,129.72,145.52,265.12,187.23,22.07,326.6,120.61,158.69
